781,herborn
782,herbrechtingen
783,herbstein
784,herdecke
785,herdorf
786,herford
787,heringen helme
788,heringen 
789,hermeskeil
790,hermsdorf
791,herne
792,herrenberg
793,herrieden
794,herrnhut
795,hersbruck
796,herten
797,herzberg am harz
798,herzberg
799,herzogenaurach
800,herzogenrath
801,hessisch lichtenau
802,hessisch oldendorf
803,hettingen
804,hettstedt
805,heubach
806,heusenstamm
807,hilchenbach
808,hildburghausen
809,hilden
810,hildesheim
811,hillesheim
812,hilpoltstein
813,hirschau
814,hirschberg
815,hirschhorn
816,hitzacker
817,hochheim am main
818,höchstadt an der aisch
819,höchstädt an der donau
820,hockenheim
821,hof
822,hofgeismar
823,hofheim am taunus
824,hofheim in unterfranken
825,hohenberg an der eger
826,hohenleuben
827,hohenmölsen
828,hohen neuendorf
829,hohenstein-ernstthal
830,hohnstein
831,höhr-grenzhausen
832,hollfeld
833,holzgerlingen
834,holzminden
835,homberg
836,homberg
837,homburg
838,horb am neckar
839,hornbach
840,horn-bad meinberg
841,hornberg
842,hornburg
843,hörstel
844,horstmar
845,höxter
846,hoya
847,hoyerswerda
848,hoym
849,hückelhoven
850,hückeswagen
851,hüfingen
852,hünfeld
853,hungen
854,hürth
855,husum 
856,ibbenbüren
857,ichenhausen
858,idar-oberstein
859,idstein
860,illertissen
861,ilmenau
862,ilsenburg
863,ilshofen
864,immenhausen
865,immenstadt im allgäu
866,ingelfingen
867,ingelheim am rhein
868,ingolstadt
869,iphofen
870,iserlohn
871,isny im allgäu
872,isselburg
873,itzehoe
874,jarmen
875,jena
876,jerichow
877,jessen
878,jeßnitz
879,jever
880,joachimsthal
881,johanngeorgenstadt
882,jöhstadt
883,jülich
884,jüterbog 
885,kaarst
886,kahla
887,kaisersesch
888,kaiserslautern
889,kalbe
890,kalkar
891,kaltenkirchen
892,kaltennordheim
893,kamen
894,kamenz
895,kamp-lintfort
896,kandel
897,kandern
898,kappeln
899,karben
900,karlsruhe
901,karlstadt
902,kassel
903,kastellaun
904,katzenelnbogen
905,kaub
906,kaufbeuren
907,kehl
908,kelbra
909,kelheim
910,kelkheim
911,kellinghusen
912,kelsterbach
913,kemberg
914,kemnath
915,kempen
916,kempten
917,kenzingen
918,kerpen
919,ketzin
920,kevelaer
921,kiel
922,kierspe
923,kindelbrück
924,kirchberg
925,kirchberg an der jagst
926,kirchberg
927,kirchen
928,kirchenlamitz
929,kirchhain
930,kirchheimbolanden
